sl_no,ssc_p,hsc_p,degree_p,etest_p,mba_p,salary,gender,ssc_b,hsc_b,hsc_s,degree_t,workex,specialisation,status
1,67.0,91.0,58.0,55.0,58.8,270000.0,M,Others,Others,Commerce,Sci&Tech,No,Mkt&HR,Placed
2,79.33,78.33,77.48,86.5,66.28,200000.0,M,Central,Others,Science,Sci&Tech,Yes,Mkt&Fin,Placed
3,65.0,68.0,64.0,75.0,57.8,250000.0,M,Central,Central,Arts,Comm&Mgmt,No,Mkt&Fin,Placed
4,56.0,52.0,52.0,66.0,59.43,,M,Central,Central,Science,Sci&Tech,No,Mkt&HR,Not Placed
5,85.8,73.6,73.3,96.8,55.5,425000.0,M,Central,Central,Commerce,Comm&Mgmt,No,Mkt&Fin,Placed
6,55.0,49.8,67.25,55.0,51.58,,M,Others,Others,Science,Sci&Tech,Yes,Mkt&Fin,Not Placed
7,46.0,49.2,79.0,74.28,53.29,,F,Others,Others,Commerce,Comm&Mgmt,No,Mkt&Fin,Not Placed
8,82.0,64.0,66.0,67.0,62.14,252000.0,M,Central,Central,Science,Sci&Tech,Yes,Mkt&Fin,Placed
9,73.0,79.0,72.0,91.34,61.29,231000.0,M,Central,Central,Commerce,Comm&Mgmt,No,Mkt&Fin,Placed
10,58.0,70.0,61.0,54.0,52.21,,M,Central,Central,Commerce,Comm&Mgmt,No,Mkt&Fin,Not Placed
11,58.0,61.0,60.0,62.0,60.85,260000.0,M,Central,Central,Commerce,Comm&Mgmt,Yes,Mkt&HR,Placed
12,69.6,68.4,78.3,60.0,63.7,250000.0,M,Central,Central,Commerce,Comm&Mgmt,Yes,Mkt&Fin,Placed
13,47.0,55.0,65.0,62.0,65.04,,F,Central,Others,Science,Comm&Mgmt,No,Mkt&HR,Not Placed
14,77.0,87.0,59.0,68.0,68.63,218000.0,F,Central,Central,Commerce,Comm&Mgmt,No,Mkt&Fin,Placed
15,62.0,47.0,50.0,76.0,54.96,,M,Central,Central,Commerce,Comm&Mgmt,No,Mkt&HR,Not Placed
16,65.0,75.0,69.0,72.0,64.66,200000.0,F,Central,Central,Commerce,Comm&Mgmt,Yes,Mkt&Fin,Placed
17,63.0,66.2,65.6,60.0,62.54,300000.0,M,Central,Central,Commerce,Comm&Mgmt,Yes,Mkt&Fin,Placed
18,55.0,67.0,64.0,60.0,67.28,,F,Central,Central,Commerce,Comm&Mgmt,No,Mkt&Fin,Not Placed
19,63.0,66.0,64.0,68.0,64.08,,F,Central,Central,Commerce,Comm&Mgmt,No,Mkt&HR,Not Placed
20,60.0,67.0,70.0,50.48,77.89,236000.0,M,Others,Others,Arts,Comm&Mgmt,Yes,Mkt&Fin,Placed
21,62.0,65.0,66.0,50.0,56.7,265000.0,M,Others,Others,Commerce,Comm&Mgmt,No,Mkt&HR,Placed
22,79.0,76.0,85.0,95.0,69.06,393000.0,F,Others,Others,Commerce,Comm&Mgmt,No,Mkt&Fin,Placed
23,69.8,60.8,72.23,55.53,68.81,360000.0,F,Others,Others,Science,Sci&Tech,No,Mkt&HR,Placed
24,77.4,60.0,64.74,92.0,63.62,300000.0,F,Others,Others,Science,Sci&Tech,Yes,Mkt&Fin,Placed
25,76.5,97.7,78.86,97.4,74.01,360000.0,M,Others,Others,Science,Sci&Tech,No,Mkt&Fin,Placed
26,52.58,54.6,50.2,76.0,65.33,,F,Others,Central,Commerce,Comm&Mgmt,Yes,Mkt&Fin,Not Placed
27,71.0,79.0,66.0,94.0,57.55,240000.0,M,Others,Others,Commerce,Comm&Mgmt,Yes,Mkt&Fin,Placed
28,63.0,67.0,66.0,68.0,57.69,265000.0,M,Others,Others,Commerce,Comm&Mgmt,No,Mkt&HR,Placed
29,76.76,76.5,67.5,73.35,64.15,350000.0,M,Others,Others,Commerce,Comm&Mgmt,Yes,Mkt&Fin,Placed
